Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Alanurmontie 24 I	437687	62100	186213	244766	3	3297389	6990888	4071	0			2450	1
6210010	Alanurmontie 24 D	437686	62100	186213	244766	3	3297389	6990888	4071	0			2470	2
6210010	Alanurmontie 24 J	437689	62100	186213	244766	3	3297389	6990888	4071	0			2480	3
6210010	Alanurmontie 24 B	437690	62100	186213	244766	3	3297389	6990888	4071	0			2490	4
6210010	Alanurmontie 24 F	437691	62100	186213	244766	3	3297389	6990888	4071	0			2500	5
6210010	Alanurmontie 24 G	437692	62100	186213	244766	3	3297389	6990888	4071	0			2510	6
6210010	Alanurmontie 24 E	437693	62100	186213	244766	3	3297389	6990888	4071	0			2520	7
6210010	Alanurmontie 24 C	437694	62100	186213	244766	3	3297389	6990888	4071	0			2530	8
6210010	Alanurmontie 24 A	437695	62100	186213	244766	3	3297389	6990888	4071	0			2540	9
6210010	Alanurmontie 24 H	437688	62100	186213	244766	3	3297394	6990902	4071	0			2460	1
6210010	Pernaantie 4	437698	62100	186216	244766	3	3297293	6990827	4071	0			2560	1
6210010	Pernaantie 5	437697	62100	186216	244766	3	3297293	6990827	4071	0			2570	2
6210010	Alanurmontie 29	437699	62100	186217	244766	3	3297372	6990841	4071	0			2590	1
6210010	Alanurmontie 26	3999748	62100	2912589	244766	3	3297405	6990846	4071	0			2610	1
6210010	Alanurmontie 28	437701	62100	186219	244766	3	3297405	6990846	4071	0			2630	2
6210010	Alanurmontie 30	437702	62100	186220	244766	3	3297411	6990801	4071	0			2650	1
6210010	Alanurmontie 32 A	437704	62100	186222	244766	3	3297413	6990756	4071	0			2670	1
6210010	Alanurmontie 32 B	437703	62100	186222	244766	3	3297413	6990756	4071	0			2680	2
6210010	Konnontie 1	1695553	62100	703806	244766	3	3297386	6990768	5009	0			2700	1
6210010	Konnontie 3 A	5839218	62100	3709502	244766	3	3297356	6990773	4071	0			2720	1
6210010	Konnontie 3	1695554	62100	703807	244766	3	3297313	6990768	4071	0			2740	1
6210010	Konnontie 5	4532133	62100	3234143	244766	3	3297313	6990768	4071	0			2760	2
6210010	Konnontie 9	1695556	62100	703809	244766	3	3297215	6990760	4071	0			2780	1
6210010	Konnontie 11	1695557	62100	703810	244766	3	3297131	6990748	4071	0			2800	1
6210010	Konnontie 13	1695559	62100	703811	244766	3	3297082	6990741	4057	0			2820	1
6210010	Konnontie 15	1695560	62100	703811	244766	3	3297082	6990741	4071	0			2830	2
6210010	Konnontie 18	1695562	62100	703813	244766	3	3297040	6990723	4071	0			2850	1
6210010	Konnontie 20	1695563	62100	703814	244766	3	3296995	6990718	4071	0			2870	1
6210010	Höyläkuja 2	1695584	62100	703815	244766	3	3296976	6990782	4071	0			2890	1
6210010	Höyläkuja 4	1695585	62100	703815	244766	3	3296976	6990782	4071	0			2900	2
6210010	Höyläkuja 1 F 20	1695583	62100	703815	244766	3	3296976	6990782	4071	0			2910	3
6210010	Höyläkuja 1 F 19	1695582	62100	703815	244766	3	3296976	6990782	4071	0			2920	4
6210010	Höyläkuja 1 F 18	1695581	62100	703815	244766	3	3296976	6990782	4071	0			2930	5
6210010	Höyläkuja 1 E 17	1695580	62100	703815	244766	3	3296976	6990782	4071	0			2940	6
6210010	Höyläkuja 1 E 16	1695579	62100	703815	244766	3	3296976	6990782	4071	0			2950	7
6210010	Höyläkuja 1 E 15	1695578	62100	703815	244766	3	3296976	6990782	4071	0			2960	8
6210010	Höyläkuja 1 D 14	1695577	62100	703815	244766	3	3296976	6990782	4071	0			2970	9
6210010	Höyläkuja 1 D 13	1695576	62100	703815	244766	3	3296976	6990782	4071	0			2980	10
6210010	Höyläkuja 1 D 12	1695575	62100	703815	244766	3	3296976	6990782	4071	0			2990	11
6210010	Höyläkuja 1 C 11	1695574	62100	703815	244766	3	3296976	6990782	4071	0			3000	12
6210010	Höyläkuja 1 C 10	1695573	62100	703815	244766	3	3296976	6990782	4071	0			3010	13
6210010	Höyläkuja 1 C 9	1695572	62100	703815	244766	3	3296976	6990782	4071	0			3020	14
6210010	Höyläkuja 1 C 8	1695571	62100	703815	244766	3	3296976	6990782	4071	0			3030	15
6210010	Höyläkuja 1 B 7	1695570	62100	703815	244766	3	3296976	6990782	4071	0			3040	16
6210010	Höyläkuja 1 B 6	1695569	62100	703815	244766	3	3296976	6990782	4071	0			3050	17
6210010	Höyläkuja 1 B 5	1695568	62100	703815	244766	3	3296976	6990782	4071	0			3060	18
6210010	Höyläkuja 1 B 4	1695567	62100	703815	244766	3	3296976	6990782	4071	0			3070	19
